zh_duty,zh_name,zh_require,zh_type
"参考各肿瘤临床指南，摘取关键词，并与实际病例对照，负责肿瘤全流程产品知识库建设
支持智能分诊、肿瘤全流程管理、健康卡，以及将来的其他产品",28481-肿瘤业务高级产品经理（深圳）,"医学临床专业
有丰富的肿瘤领域经验和知识库建设经验",产品
"根据产品需求进行方案设计、编码、部署、维护等工作 ; 
承担大数据ETL、高效计算，即时查询等数据处理和分析工程开发 ; 
负责BI/大数据产品架构设计与开发。",30359-大数据开发高级工程师（深圳）,"3年以上大数据项目架构/开发/调优经验，具有行业数据平台数据架构和开发工作经验优先；
熟悉常见的算法和数据结构，熟练设计数据模型、ETL设计、Cube多维建模、OLAP开发、报表开发等 ; 
熟练使用大数据处理框架（Hadoop/Hive/Spark/Kylin）相关技术；
熟悉流式计算引擎，对相关框架(Kafka/Storm/SparkStreaming/Flink)熟悉了解，有实际应用经验优先; 
熟悉Linux/Unix系统，精通至少一门编程语言PHP/Python/Java等；
沟通主动，有较强的工作激情和抗压能力，能组织协同团队开发。",技术
"负责游戏移动终端系统案架构设计；
负责游戏移动终端关键技术攻关工作；
产品需求的技术可行性评估, 程序框架及技术方案的设计和具体实现；
协助美术和策划建立高效的游戏内容制作流程, 完善并持续优化工具链。",15573-手游客户端开发工程师（深圳）,"本科及以上学历，2年以上相关经验，至少参与过一款3D游戏项目, 对游戏研发技术领域有系统的了解和关注；
系统全面软件相关知识结构(操作系统、软件工程、设计模式、数据结构), 精通C/C++、Java、C#其中的至少一种编程语言；
具备良好的分析解决问题能力, 责任心强, 有较高的自我管理和任务跟进推动能力；
在框架设计、渲染、动画, 物理、AI等其中某一技术领域有丰富的经验；
有Unity3d, UnrealEngine, CryEngine, Gamebryo等商业引擎实践经验, 并了解其核心技术实现原理；
出色的学习和技术研究应用的能力, 良好的团队协作能力, 善于沟通, 敬业专注；
热爱游戏，有梦想有追求。",技术
"1.负责计算机视觉和深度学习基本算法的开发与性能提升，涉及的主要问题包括但不限于：物体检测、分类、关键点定位，语义分割和图像处理等；
2.推动计算机视觉算法和深度学习在众多实际应用领域的性能优化和落地；
3. 提出和实现最前沿的算法，保持算法在工业界和学术界的领先。",20503-计算机视觉高级研究员（上海）,"1.计算机相关专业，博士学历 
2.熟练掌握计算机视觉和深度学习的基本方法；
3.优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
4.较好的工程实现能力，熟悉C/C++、Matlab、Python等至少一门语言
5.有较强的研究能力优先，如在领域顶级会议如CVPR，ICCV，ECCV，NIPS等发表过高质量论文；
6.有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上等；或代码开源在github上并有较大影响；
7.有较强的学术比赛经验或者在重要数据集的Leaderboard上排名靠前者优先",技术
"1). 负责行人重识别相关前沿算法的研究；
2). 负责行人重识别算法系统相关的产品化落地及效果性能优化。
",20503-行人重识别高级研究员（上海）,"1). 计算机相关专业，博士学历。精通图像处理、行人重识别理论和算法，尤其对视频中行人重识别，有很好的研究积累和创新能力，对计算机视觉有深入学习了解应用的优先；
2). 对机器学习、深度学习有较深理解和应用，能独立开展算法研究工作；
3). 极佳的工程实现能力，精通C/C++、Matlab、Python等至少一门语言；
4). 思维活跃，能快速学习新知识，对技术研发富有激情；
5). 拥有海外研发经历、国际顶尖学术论文或者知名竞赛排名的，优先考虑。",技术
负责腾讯视频产品的研发和性能优化，完成高质量编码和测试； 负责与产品同学配合，深度参与产品需求讨论和功能定义； 负责参与移动技术框架的设计选型，实现关键技术点；,32268-腾讯视频iOS开发工程师（深圳）,本科及以上学历，3年以上iOS开发经验； 熟练使用Git，XCode及性能调优工具； 熟练使用iOS各种常用框架，理解系统体系结构及UI绘制原理； 精通Obj-C开发，掌握ARC及多线程开发，熟悉Http/Socket工作原理； 积极乐观，责任心强，具有良好的团队沟通与协作能力； 有架构设计及自定义UI控件经验优先； 有较好的产品思维优先；,技术
"负责创新项目iOS端应用的架构设计和开发；
负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；
负责项目重点、难点的技术攻坚以及手机移动产品新技术预研等。
",PCG22-创新项目ios开发工程师（深圳）,"计算机基础扎实，熟悉常见数据结构、算法和设计模式，深入了解TCP/IP协议，对操作系统原理有深刻理解； 
精通OC/C++语言和iOS应用开发；
熟悉系统控件、内存管理、动画、多线程、网络优化、数据库、XML/JSON解析等；
有两年以上IOS开发经验，有大型App经验优先； 
有图像和视频处理以及opengl开发经验优先； 
具备良好的分析解决问题能力及攻坚能力，能独立承担任务，有系统进度把控能力； 
责任心强，具有良好的对外沟通和团队协作能力，主动，好学。",技术
"配合项目主美术，负责角色及物件动画制作；
配合策划、运营、模型、原画和特效等环节协同完成动画整体工作；
负责管理动画外包。
",30933-宝可梦-3D游戏动画设计（深圳）,"3年及以上工作经验；
参与过完整3D项目开发；
熟练使用Unity3D，maya，3DMAX等制作软件；
有较好的美术功底，热爱游戏，对ACG敏感，喜爱日系动画，适应二次元动画制作；
有手绘动画功底者优先；
追求卓越，注重团队合作，具备较好抗压能力；
了解且喜欢宝可梦，深度熟悉且热爱宝可梦者优先。",设计
"负责公司云与智慧产业事业群的文化体系建设；
负责为事业群领导人撰写内部相关资料；
负责事业群内部沟通体系的搭建，优质内容的生产和运营。",29316-沟通传播文化专家（深圳）,"本科及以上学历；
10年以上媒体或新媒体运营工作经验；
优秀的文字写作功底；
对互联网行业有一定的认知，沟通界面成熟，心态开放，学习能力强；
英语能作为工作语言优先。",人力资源
"负责手游基础模块及功能模块的设计及开发；
负责手游针对iOS底层的性能优化及问题定位；
负责手游工具链的开发。",15851-游戏iOS高级开发工程师（深圳）,"2年以上iOS项目开发经验；
熟练掌握 Objective-C，C/C++；
熟悉常用数据结构和算法，设计模式；
熟悉iOS线程同步、内存管理、文件系统，网络编程；
熟练使用Xcode，具备较好的iOS程序调试能力；
熟悉iOS平台性能优化方法；
良好的分析解决问题能力与沟通协作能力。",技术
"参与腾讯课堂、企鹅辅导等在线教育产品的架构设计、开发；
负责项目重点、难点的技术攻坚任务。",21309-在线教育ios高级开发工程师（深圳）,"本科及以上学历，计算机相关专业；
5年以上相关领域开发经验；
熟悉iOS系统运行机制及内核；
精通C/C++，精通OC；
熟练运用UIKit、CALayer、CoreGraphics等进行界面开发；
精通客户端程序设计方法以及安全的应用层协议设计；
熟练掌握UDP/TCP/IP、http等网络协议，精通协议设计；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
工作认真负责，尽职尽责，沟通协作意识好；
有知名手机客户端负责人的工作经验优先。",
"1. 负责多种硬件设备上微信客户端的交互设计工作，探索在触控屏幕以外的交互模式；
2. 独立承担项目，能够为产品功能和特性提供合理的系统化设计解决方案。",WXG01-微信多平台交互设计师（广州）,"1. 2年及以上交互设计经验，有主导设计语音产品、智能硬件项目相关工作经验优先；
2. 强逻辑思维能力，掌握业务需求分析、产品需求分解的技巧；
3. 对各种智能硬件趋势有敏锐的设计触觉，富有设计创造力和激情，有探索研究精神。",设计
"负责产品前期引入与开发商对接，沟通对齐游戏玩法设计，跟进版本进度和内容验收，定位问题并找到解决方案； 根据项目运营节奏、运营数据及不同阶段的版本内容，制定游戏内功能及运营活动，并对活动效果进行数据分析； 负责游戏调优分析，包括活跃、流失、商业化相关的数据分析框架、玩法使用情况等，发现问题并结合游戏数据调优建议，指导后续版本开发； 负责拆分项目收入指标并制定运营计划，确保项目目标的达成。

",27555-开放世界融合向游戏本地化策划,有丰富角色扮演\枪战射击\驾驶竞速\动作格斗类游戏产品策划或运营工作经验； 重度的开放世界向主机或PC游戏玩家、深度体验多款开放世界融合向游戏，有全成就者优先，熟悉MOD等游戏制作或游戏编辑器者优先；对主流游戏的核心玩法、数值设计、经济系统、社交系统、商业化活动等模块的设计方法和体验优化，都有一定的研究和心得； 本科及以上学历，3年以上游戏行业相关工作经验，团队合作意识强，善于沟通及表达，良好的分析总结能力和抗压能力，有强烈的责任感和团队合作精神。,产品
"负责公司计费商户平台的开发建设，包括但不限于米大师官网，计费开放平台，营销平台，Q币销售平台，配置中心等系统。
 负责计费中台的开发及维护工作；
 参与计费架构优化、安全加固等相关工作。

关于我们：计费主要产品(米大师)。米大师主要为客户提供一站式计费解决方案，聚合国内外主流支付渠道，提供对账结算、付费拉动、付费分析、立体监控等多维度服务，覆盖多类型，多场景，多终端，具备领先行业水平的高支付转化率和高可用性，多级商户管理与分润。

",TEG15-腾讯计费PHP开发工程师（深圳）,"岗位要求 熟悉Linux操作系统，掌握apache/nginx服务器管理；
熟练掌握OOP编程和常见设计模式，有良好的编程习惯； 
3年以上以PHP为主的大中型互联网产品架构/开发/维护等经验；
 熟悉PHP主流的MVC框架，实际项目中有使用过CodeIgniter/Laravel/Yii/ThinkPHP/CakePHP/Symfony中的一种或多种； 
具备javascript、html、css等前端开发能力，熟悉jQuery、bootstrap、vue.js、react.js、Element-UI等常用框架； 
具备高度的责任心、良好的沟通技巧和团队合作精神、抗压精神。",技术
负责公司级DDoS防护后台系统的后台开发工作，涉及腾讯所有机房，所有业务，包括腾讯云，性能要求极高（T级/s带宽），可用性要求极高（不能影响业务稳定运行），业务环境迥异（腾讯所有业务)。所负责的架构实现工作须能很好解决这些挑战点。,TEG05-高级DDOS后台研发工程师（深圳）,"3年以上Linux c/c++后台开发经验，具备大容量、高性能复杂系统的设计和架构能力；
热爱技术，精通底层技术，如linux系统编程、网络编程、网络协议、nginx/apache、dpdk、性能调优等，极强的技术解决问题能力；
高度的责任心，主动思考的意识强，目标导向，具备良好的沟通能力和团队协作能力。",技术
"负责Android平台浏览器软件设计与开发；
根据项目任务计划完成软件高质量编码和测试工作；
持续优化Android平台软件产品，提升质量和性能。",PCG10-Android客户端开发工程师（成都）,"本科以上学历，计算机或相关专业，3年以上Android平台开发经验；
熟悉Android平台软件开发技术，了解Android开发平台、Framework和底层设计原理；
扎实的Java/C++编程能力，精通常用数据结构与算法，熟悉TCP/HTTP协议
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
有良好的学习能力和强烈的进取心和创新意识；
具备较强的团队精神、良好的表达和沟通能力，工作认真负责",技术
"主导并推动使用Unity建立适合项目美术风格的渲染管线；
针对需求定制增改Unity引擎底层功能，开发引擎相关特性（光照、渲染、管线、资源管理等）；
与设计师一起合作完成高级图形效果开发；
解决游戏中的图形相关性能优化及兼容性问题。",30933-宝可梦-高级引擎图形开发工程师,"5年及以上游戏开发经验，有游戏引擎开发经验者更佳；
熟悉各种光照模型和图形学算法，关注图形学前沿技术，关注图形学在游戏中应用；
熟悉Unity引擎渲染PBR管线及相关工具，熟悉Shader编程和材质编辑器； 
扎实的数学和算法基础，熟悉GPU调试/调优工具；
有策略、动作冒险、多人对抗等游戏类型经验者优先；
了解且喜欢宝可梦，深度熟悉且热爱宝可梦者优先。",技术
"支持教育、建筑、医疗和文旅行业业务售前咨询，完成客户需求收集、引导和可行性分析；
根据客户需求独立完成产品解决方案、实施方案的设计和撰写；
支持汇总行业和客户需求信息，协同行业产品团队推进产品解决方案的迭代演进；
支持对区域商务和渠道合作伙伴培训赋能。",CSIG02-腾讯云行业方案架构师（上海）,"本科或以上学历，8年及以上售前顾问工作经验；
具备良好的需求抽取能力，客户痛点分析能力；
具备优秀学习能力，能够快速完成对于新行业的切入和分析；
具备优秀的沟通能力和良好的亲和力以及跨团队协作能力；
具备强烈的主动精神和推进能力；
熟悉toB，toG招投标运作模式；
具备教育、建筑、医疗和文旅等行业背景者优先，能接受不定期出差支持项目。  通过腾讯云技术认证或同等资格认证的优先录取。",技术
"Assist and, in some cases, lead the investment process to help Tencent gain exposure to the most compelling fintech/blockchain opportunities globally. 
Be involved in every step of the investment process, from origination/sourcing, to evaluation, proposal/presentation, negotiation, and execution.  
Liase across the company internally, especially where investment targets have synergies with or implications with regards to existing business groups. 
",ZL-Investment & Business Analysis Manager,"High level of integrity, dedication and motivation
Passionate about Internet and long-term investing globally in fintech and blockchain.
Bachelor/Master degree from top schools in Computer Science major; with MBA degree a plus;
Over 4 years working experience in PE/VC, IB, consulting firm or related industry, with 1-2 years of actual experience as a software developer a strong plus.
Excellent communication and interpersonal skills.
Strong analytical skills, problem solving skills. 
Fluency in English and Chinese
",战略与投资
"负责QQ浏览器功能应用类的业务开发；
负责功能应用类相关性能优化；
参与对新的工具技术能力的演进调研",PCG10-浏览器功能应用Android开发工程师,具备扎实的Java语言基础； 精通Android开发平台及框架，具备两年以上的开发经验； 熟悉网络编程，熟悉TCP/IP、UDP、HTTP等协议； 熟练使用ADT工具，具备Android平台性能优化的经验； 熟悉常用数据结构与算法，有良好的编程习惯和软件设计能力； 自学能力强，沟通协作意识好，能够承担一定的工作压力。,技术
"1、负责公司移动产品的研发, 编写高质量的代码;
2、和产品经理配合, 深度参与手机产品需求讨论, 功能定义等;
3、设计良好的代码结构, 不断迭代重构;",22090-天天快报-IOS开发工程师（北京）,"1、热爱移动产品研发, 愿意在移动开发领域深入钻研; 
2、良好的编程习惯, 代码结构清晰, 命名规范;  
3、熟练掌握Objective-C或Swift,熟悉开发中所需的主流框架和开发模式;  
4、三年以上iOS开发经验, 有独立上架App Store作品优先;  
5、对软件产品有强烈的责任心, 具备良好的沟通能力和优秀的团队协作能力;",技术
"1. 负责音视频质量专项技术测试，包括用例设计评审，制定测试方案并评估风险、缺陷跟踪和质量分析等；
2. 推动建设自动化测试体系，同时引入业界测试方案，协助团队提升测试的质量和效率；
3. 能独立执行项目测试，包括性能、稳定性、兼容性，音质，画质，网络策略等方面；
4. 在项目中保持与产品经理、开发的积极有效沟通，快速推动问题解决；
5. 结合项目特征，挖掘业务相关的各种专项测试需求；",21557-音视频专项技术测试工程师(深圳),"1. 计算机相关专业本科以上学历；
2. 3年以上系统测试或专项测试经验，精通软件测试理论和方法；
3. 具备一定的自动化测试经验，对质量体系、流程、测试风险把握，测试范畴的定义有很好的理解和应用；
4. 具备音视频底层相关技术测试经验者优先；
5. 熟练掌握至少一种脚本编程语言者优先，包括但不限于Python、Shell等；
6. 具备一定的网络基础知识者优先；
7. 有丰富的手机端产品测试经验者优先；
8. 熟悉以下全部或部分领域者优先：时延、卡顿、CPU、内存、稳定性、流畅度 、网络流量、音质、画质等等；
9. 熟悉音视频方面专项分析工具者优先；
10. 具备良好的沟通能力、抗压能力和团队合作意识；",技术
"1、负责短视频项目产品研发维护； 
2、和产品经理配合,深度参与短视频产品需求讨论，功能定义等； 
3、负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；
4、进行技术预研，将新技术落地到产品，进行技术分享。",29912-微视前端技术中心增长Android开发,"1. 3年以上Android客户端开发经验；扎实的计算机科学基础，熟悉常见的数据结构和算法。
2. 精通Android SDK，熟练掌握Android Studio等开发工具，熟练使用svn/Git等工具；
3. 精通 C/C++或JAVA开发语言，精通多线程以及网络编程；精通安卓组件;
4. 有良好的编程习惯，代码结构清晰； 
5. 具备性能优化，音视频相关项目经验者优佳；
6. 熟悉增长黑客(Growth Hacking)，或对此有强烈兴趣者优先；",技术
"1、基于历史数据和专家经验和大数据风控技术，针对欺诈、赌博、非法集资等洗钱风险进行识别、分析和处置；
2、以案例分析、异常预警、数据挖掘等方式感知风险，并对其展开分析研究，完成相应分析报告；
3、与风控策略、产品、技术团队深入合作，协助团队完善对洗钱风险的防控机制。",18435-反洗钱/支付风险分析师（深圳）,"1、计算机、数学、统计、管理科学等相关专业，本科及以上学历；
2、一年以上风控或反洗钱策略对抗工作经验，行业包括银行、第三方支付机构、信用卡机构、互联网等；有数据化运营、数据挖掘、大数据处理分析经验者优先；
3、熟练应用SQL，熟练使用至少一种分析语言，如SAS、Python、R等；
4、风险敏感度高，有良好的分析问题和解决问题的能力，自我驱动，并具备较强的学习能力及沟通协调能力。
",技术
"负责金融大数据采集，计算，分析处理等相关开发工作；
负责金融数据仓库的设计与开发等相关工作；
负责金融大数据治理相关的设计与开发工作；",18436-大数据开发工程师-数据仓库方向,"本科以上学历，计算机相关专业，3年及以上工作经验；
具备三年以上数据仓库建设经验，包括数据建模，ETL开发与设计等；
熟悉Hadoop，Spark，Storm，Flink，Kafka，Elasticsearch，Druid等相关平台和组件；
熟悉Java，shell，Python等至少两种开发语言；
有数据治理，元数据管理等经验者优先；
良好的沟通表达能力，执行力强，对待工作认真严谨，负责。",技术
"搭建游戏市场监测体系，扫描国内外游戏动态和剖析行业热点，并定期输出报告，包含竞品分析、竞品公司分析、行业现状和未来走势趋势等；
结合业务和行业动态，定期输出互动娱乐业务运营状况仪表盘，包括各模块业务发展现状、问题诊断和风险预警；
针对游戏发行流程的关键环节，输出产品品质评测报告，为资源配置提供决策依据，并参与制定和设计流程涉及的定量评估指标模型。",HY3-互娱数据分析经理（深圳）,"金融、数学、统计学等专业，有2-3年左右大数据分析的经验（最好是互联网行业），熟悉SQL语言；
思维逻辑性强，数据处理分析过程严谨；
熟悉互联网行业的发展动态，对不同类型游戏（网游和主机）均有较好的认知；
具备较好的沟通表达能力，抗压能力强；
英语沟通和书面能力优秀者尤佳。",战略与投资
"1.负责腾讯视频海外版的产品功能特性开发； 
2.参与移动客户端在性能、稳定性方面的建设； 
3.负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构； 
4.负责项目重点、难点的技术攻坚以及手机移动产品新技术预研等。",29041-腾讯视频海外版Android开发工程师,"1.本科及以上学历，计算机相关专业，两年以上Android客户端开发经验；
2.扎实的计算机科学基础，熟悉常见的数据结构和算法，精通Java编程语言，熟悉TCP/UDP协议网络编程编程；
3.熟悉Android Framework及JNI开发、调试，具有源码阅读及修改能力，有良好的编程习惯，代码结构清晰；
4.具备良好的分析解决问题能力，能独立承担任务及把握进度风险；
5.有音视频相关项目经验或图像处理技术相关经验优先，优秀技术解决方案设计经验优先，优秀开源项目开发维护经验优先。",技术
"负责微信基础功能的用户行为数据挖掘；
负责结合业务目标构建特征、标签和用户画像体系；
负责优化线上排序模型；
负责探索前沿算法在业务场景之中的应用。
",WXG01-122 微信数据挖掘工程师（广州）,"计算机科学、信息科学、机器学习等领域硕士及以上学历；
熟悉分类、回归、聚类等常见的机器学习算法及原理，具有模型应用和调优的能力；
熟悉C/C++或Java等编程语言；
精通Python或R等数据处理和数据建模语言；
有Hadoop、Spark等平台的海量数据处理经验；
良好的逻辑思维、业务意识和沟通能力；
有推荐或广告排序实战经验者优先。
",技术
"负责服务器的维护、优化、调试；
负责对大规模服务器的监控部署；
负责网络游戏业务的部署、新版本的发布、服务端的变更；
负责监控网络游戏业务的运行状况，及时处理游戏运行中出现的故障，保障网络游戏服务的正常提供；
负责网络游戏业务的设备预算和带宽预算的申请和滚动；
分析业务发展的趋势，并提前准备所需设备和带宽资源；
负责与游戏运营项目组的日常沟通交流，接受并处理项目组提出的运维需求。",25924-互娱游戏网站运维工程师（上海）,"本科以上学历，计算机类或相关专业；
5年以上互联网行业经验、6年以上的服务器维护经验；
精通Linux、Windows的系统管理，对系统性能有一定的认识；
熟悉Apache、Iptables、Nginx、Mysql、Squid、Ftp、Php的基本配置和维护；
熟悉mysql、sqlserver等数据库应用；
精通shell、perl、python至少一门脚本语言；
熟悉负载均衡、双机热备；
对服务器硬件知识有一定的了解；
有大型网站维护经验者优先；
有较强的抗压能力、沟通能力、推动能力和较好的服务意识。",技术
"负责腾讯游戏iData数据分析BI产品化工作；
保持腾讯游戏数据分析产品的业界领先优势；
并能够带领该产品实现ToB的商业化能力。",25924-数据分析高级产品经理BI（深圳）,"任职要求：
1、负责腾讯游戏数据分析产品iData的规划与设计，综合考虑业务战略及目标、及用户的需求， 制定产品线roadmap，扩展平台服务能力；
2、负责产品需求分析和PRD方案，主导UED、开发、测试到上线的项目管理全过程，协同内外部资源完成产品目标； 
3、负责产品运营和商业化的方案、规划以及落地的全流程工作。构建和维护起长期、稳定和优质用户关系。 
4、负责产品的品牌以及影响力构建，实现提升产品品牌在公司内外以及业界的影响力。

岗位要求： 
1、5年以上数据分析类产品的经验。必须成功主导过优秀的BI的产品。 具备熟练了解和使用行业的BI产品的经验。例如：EXCEL\SPSS\R\Tableau\FineBI 等
2、​具备优秀的数据分析BI的产品开发、运营以及商业化经验。在金融、银行以及数据咨询公司中从事过数据分析、决策到运营干预的项目的经验者优先。
3、熟悉IT行业，热爱互联网，具有好奇心、创新思维、战略大局观、逻辑分析能力；对新事物保持强烈的好奇心，对体验有极致的追求； 
3、对数据敏感，了解用户需求，有敏锐的洞察力和快速学习能力；
4、具有良好的沟通能力，团队协作能力，有海外发行能力及良好的英语沟通能力更佳。
5、良好的商业嗅觉和数据敏感度，丰富的数据分析经验，能从数据提炼核心结果。",产品
" 负责腾讯广告KA服务商的管理和开拓，通过数据分析洞察市场变化，协助KA服务商达成销售任务； 
 制定KA服务商销售运营体系及客户优化能力的提升计划，落实执行相应的市场活动； 
 协调产品及技术资源，通过系统化平台化为服务商进行赋能。",30626-腾讯广告KA渠道赋能经理（深圳）,"全日制本科及以上学历，专业不限； 3年以上相关互联网广告行业渠道工作经验； 
 具备出色的沟通能力，协调能力； 有较强的数据分析能力、策略和规划能力，逻辑思考能力； 
 良好的团队合作精神，为人诚信，工作敬业，有责任心；
 能适应频繁出差。

",产品
"负责手机游戏架构的搭建开发和现有系统的持续优化；
负责手机游戏逻辑的开发及维护；
负责UE引擎的调优以及插件、工具扩展开发；
与策划协同参与游戏的设计，技术预研，快速原型Demo搭建。
",32032-移动客户端UE开发工程师（上海）,"3年以上Unreal4开发经验，五年以上游戏开发经验；
熟悉UE引擎底层架构设计，熟悉UE的渲染管道，能熟练使用VisualStudio进行UE工程调试；
熟练掌握UE4蓝图的各种功能，熟练使用材质、动画、粒子特效、行为树等模块；
良好的数据结构基础以及算法设计能力；
良好的学习能力和沟通能力，高度的工作责任心和敬业精神，吃苦耐劳并能承受较大的工作压力；
有完整游戏项目经验直至上线者优先考虑。
",技术
"负责腾讯自研新品类/新游戏产品整体公关传播策略制定与执行；
负责游戏展会/行业会议开展线上活动策划，多维度统筹并主动跟进传播效果；
负责推动游戏类公关传播方法论研究与试点。",23295-互娱游戏传播经理（深圳）,"2年以上工作经验，对游戏有浓厚兴趣，对独立游戏、新品类有独特了解；
对公关传播工作有认知，熟练掌握传播项目执行相关知识与操作流程；
拥有良好的社会化传播思维以及文案写作能力，脑洞大开；
拥有大型项目管理能力，善于沟通表达与团队协作；
公关公司涉及PR等相关工作，拥有成功传播项目经验者优先。",营销与公关
"负责腾讯视频客厅产品（TV端视频APP、智能电视盒子、智能语音等）的交互体验设计，保证产品的最终用户体验；
参与产品的规划构思和创意过程，对产品进行持续性设计优化、提升用户体验；
分析业务需求，了解并熟悉产品和市场，进行竞品分析，归纳用户目标、制定相应的设计目标，提出合理的交互体验解决方案，完成系统化的交互设计，跟进整个设计流程并推进实现设计方案；
针对上线结果或设计效果进行评估，提出体验优化计划并与产品侧一起推进；
参与团队专业建设，分享设计经验，制定设计规范。",32272-腾讯视频TV端交互设计师（深圳）,"工业设计、人机交互、计算机等相关专业本科以上学历；
从事用户体验设计工作2年以上，熟悉APP设计相关流程，产出高质量产品原型，并能清晰完整的表达设计方案；
熟悉用户研究基本方法，并能独立完成相应的用研工作；
逻辑思维严谨清晰，学习能力强，主动性高，具备优秀的理解、沟通与协调能力，很强的文字表达能力；
对互联网产品或新鲜事物有强烈兴趣，富有创造力和激情，善于观察和分析设计细节，对设计有追求，有责任心，并有良好的动手实践习惯；
个性乐观开朗，善于和各种背景的人合作；
有大局观，可以在复杂的约束条件下找到平衡或创新的方法；",设计
"负责创新项目相关内容产品的个性化推荐算法、多模态搜索算法研究和业务落地；
跟进前沿算法在推荐系统的创新应用，包括但不限于用户表示学习、排序模型、多目标网络设计、强化学习RL在推荐系统中应用等方向。",PCG22-创新项目推荐算法工程师（深圳）,"具备创新思维和创业精神，对技术有激情；
精通机器学习，深度学习等基础算法理论，具备推荐系统实践经验，良好的工程实现能力；
精通TensorFlow/Caffe/Pytorch/MXNet等至少其中一种深度学习框架，对深度学习模型有深刻理解，并有相关实践经验；
具有良好的工程实现能力，熟悉linux开发环境，熟练掌握C/C++、Java、python等至少一种编程语言；
有优秀的逻辑思维能力和数据分析能力，善于分析和解决问题；良好的沟通能力与团队协作能力；
大规模机器学习研究或分布式计算经验优先；
有自然语言处理、社交网络图挖掘、大数据挖掘、强化学习、计算机视觉、多模态内容理解等方向经验者优先。",技术
"确认需求：根据版本白皮书内容，配合PM进行需求沟通，对美术工作量和实现风险进行评估； 
制定计划：对美术各小组进行美术需求和缺陷工作的分配排期及过程跟进； 
预估风险：根据团队的实际情况对任务进行追踪，有问题时及时沟通调整，确保任务高质量完成；
版本验收：推动各个模块验收资源，协调美术团队的工作；
外包管理：对美术外包团队进行管理整合，计划制定，过程跟进，落地验收；
定期总结：总结团队的效率和状态，持续迭代团队的开发模式，提升团队效率。",30933-宝可梦-高级美术项目管理(深圳）,"有美术资源的基础认知、有资源管理工具svn、P4等的使用经验，有UE引擎使用经验更佳；
有项目管理经验，能熟练使用各种表格工具、思维导图和图表工具； 
有次世代项目经验优先考虑；
有外包管理经验，包括制定计划、跟进过程进度等；
个性正直乐观，做事高效，抗压力强，有较强的责任心，工作投入度高，目标意识强，思维逻辑性高；
了解且喜欢宝可梦，深度熟悉且热爱宝可梦者优先。
",产品
"1、根据业务需求，共同制定QQ音乐的品牌策略和营销策略；
2、根据业务需求和全年品牌策略，自主策划和执行品牌活动、产品营销事件及热点活动，达到提升品牌影响力同时拉动活跃的效果；
3、熟悉年轻人市场，针对年轻人市场能针对性的进行策划。",TME-QQ音乐高级品牌经理（深圳）,"1、学历：本科及以上；
2、具有7-10年品牌管理、市场营销、广告策划或相关工作经验，具备清晰的市场营销逻辑和出色的资源整合能力，品牌意识强，主负责过品牌的策略和管理；
3、热爱音乐，熟悉音乐娱乐行业，有相关行业市场营销经验、品牌策划经验的优先；
4、思维活跃，善于快速学习，具有创新精神和良好的表达能力；
5、对传播和年轻人市场有一定的研究或尝试，熟悉年轻人的阵地和热点。",营销与公关
"-Develop a deep understanding of Internet products/services in relation to consumer needs, attitudes, and usage patterns as well as market/competitive activities;
-Provide strategic analysis and recommendations for a broad range of management issues at corporate and business group level;
-Facilitate execution of key initiatives across business groups and functions;
-Analyze emerging internet business models, technologies and product innovations to help management identify new growth areas.",ZL-Business Analysis Manager-MBA (Intern),"-High level of integrity, dedication and motivation, and great passion for the Internet industry;
-Strong focus on user experience and strong belief in user value;
-Strong problem solving skills and acute business sense that enable sound business
judgment;
-Practical, hardworking and disciplined;
-Effective communication and interpersonal skills;
-Good understanding of Chinese culture; fluency in English and Mandarin;
-Preferably with international exposure and a MBA degree from a top school.",战略与投资
"•	Partner with Business Groups to formulate M&A and investment strategies;
•	Source potential deals and drive the evaluation process; 
•	Lead cross-functional teams including BGs, legal and finance teams to manage deal process, including business analysis, due diligence, valuation, negotiation, preparing investment documents and managing closing;
•	Coordinate cross-functional teams in post deal management and create value for portfolio companies.
",TB-Investment Associate - MBA (Full-time),"•	High level of initiative insight, teamwork and integrity;
•	Over 3 years of working experiences in Internet/technology, investment, finance or business development;
•	Strong interest, passion and business sense for Internet, investment and Tencent;
•	Excellent communication and negotiation skills;
•	Fluent in English and Mandarin
•	MBA degree from a leading business school; Bachelor/Master degree from a top school.
",战略与投资
